Query ID,Subject ID,% identical,Length,Query Start,Query End,Subject Start,Subject End,E Value,Bit Score
AEI43346.1,AEI43346.1|CE0|PL9_1,100,993,1,993,1,993,0,2003
AFH63317.1,AFK65394.1|CE0|PL9_1,100,777,1,777,8,784,0,1580.5
AFK65394.1,AFK65394.1|CE0|PL9_1,100,784,1,784,1,784,0,1595.5
QYM77803.1,QYM77803.1|CE8|PL1|PL9_1,100,4380,1,4380,1,4380,0,8025.2
