Gene ID,EC#,HMMER,DIAMOND,dbCAN_sub,Signal Peptide,# of Tools
AEI43346.1,-,PL9(34-424)+CE12(622-832),CE0+PL9_1,PL9_e16+CE12_e7,N,3
AFH63317.1,-,PL9(33-423)+CE12(621-743),CE0+PL9_1,PL9_e16+CE12_e49,Y (1-39),3
AFK65394.1,-,PL9(40-430)+CE12(628-750),CE0+PL9_1,PL9_e16+CE12_e49,Y (1-46),3
QYM77803.1,4.2.2.2|4.2.2.-,CE8(696-981)+PL9_1(1695-2096)+PL1(3003-3209),CE8+PL1+PL9_1,CE8_e77+PL9_e8+PL1_e79,Y (1-19),3
